B cells,T cells,naive B cells,non-switched memory B cells,class-switched memory B cells,CD8 T cells,CD4 T cells,Th cells,Treg cells,naive Th cells,CM Th cells,EM Th cells,TEMRA Th cells,activated Treg cells,naive Treg cells,naive CD8 T cells,CM CD8 T cells,EM CD8 T cells,TEMRA CD8 T cells,platelets,CD56+ NKT,eosinophils,neutrophils,CD16+ NKT,basophils,CD56++ NK,CD16+CD56+ NK,CD14+ monocytes,CD14+CD16+ monocytes,CD16+ monocytes,pDC,mDC,target
163.7,206.72,157.94,156.8,196.34,196.64,211.18,209.38,228.32,139.48,214.37,225.64,216.4,230.83,137.66,167.3,193.65,204.28,175.14,99.04,266.92,454.21,252.41,216.27,145.72,118.13,152.1,174.29,263.4,172.49,152.36,162.18,CD150
153.81,168.32,143.7,184.16,161.84,173.83,157.41,159.55,125.96,143.7,148.73,157.46,186.48,123.04,291.01,135,136.78,172.65,181.34,827.24,208.89,704.73,302.41,177,615.85,181.34,183.24,802,776.37,352.58,457.31,306.74,CD151
186.51,154.99,159.61,231.41,259.65,158.95,158.62,161.42,136.38,170.93,159.52,159.87,136.73,141.42,134.39,150.52,130.59,200.33,163.52,106.8,211.34,597.81,269.4,144.23,129.29,279.25,193.78,236.97,272.54,194.66,408.49,313.82,CD152
252.35,146.07,181.1,507.89,205.29,292.46,136.9,136.65,156.56,137.09,130.92,135.47,305.12,157.51,123.81,309.22,0,216.61,1040.11,132.44,144.54,543.41,279.06,122.03,0,123.09,0,166.2,185.51,152.49,0,145.29,CD154
319.6,168.05,373.76,264.27,996.76,140.03,187.35,189.19,413.08,417.45,142.99,190.66,185.29,0,413.08,761.71,126.67,138.78,179.67,106.16,346.33,437.15,262.94,190.88,142.47,111.11,132.14,518.73,446.63,259.75,180.88,257.22,CD155
1627.1,2196.08,1600.18,1732.61,1597.96,2549.61,1948.72,1917.18,2174.29,1984.15,1722.63,2207.91,3554.19,2191.63,2131.75,1948.32,1791.48,2863.68,3307.89,2266.16,4197.5,5972.32,3232.7,2021.92,1755.51,4716.13,6267.99,12558.19,10238.9,9523.88,1894.55,4965.33,CD156c
167.82,168.11,163.3,203.12,167.43,171.19,166.67,165.98,175.16,165.08,161.46,163.38,199.71,179.81,182.28,164.95,180,169.2,185.23,138.19,140.83,548.35,2580.19,157.2,817.04,156.28,192.26,4429.93,3448.61,633.03,346.55,851.59,CD157
175.6,262.57,171.07,326.43,140.23,355.52,140.05,140.7,138.83,143.42,134.3,141.42,162.94,138.83,143.93,162.66,187.1,490.22,402.53,103.89,211.43,459.64,258.9,135.23,123.17,2758.99,2798.28,179.06,164.77,172.41,147.81,141.7,CD158a-h
647.7,222.03,1452.91,135.52,0,263.85,133.72,128.87,133.72,104.92,115.46,0,180.17,133.72,0,750.7,0,222.03,293.5,12982.42,149.83,683.98,200.25,109.97,111.66,139.43,324.93,136.74,0,148.96,0,153.84,CD158a
167.66,268.07,133.45,2393.14,167.98,269.26,211.59,195.03,225.53,250.5,141.18,355.11,240.56,228.76,134.03,268.07,413.25,254.11,272.45,102.32,350.91,464.13,240.8,294.93,0,372.5,1337.62,174.45,185.49,223.6,155.26,171.66,CD158b-j
155.38,366.86,183.45,230.86,146.75,428.76,188.41,179.62,464.33,180.67,163.09,151.82,298.66,496.52,118.22,134.02,469.03,281.98,536.22,131.36,1623.11,416.93,440.37,957.76,171,2557.41,4260.47,171.67,182.1,3877.46,0,170.28,CD158b
240.78,188.64,281.54,272.68,209.88,210.94,165.49,169.07,142.91,147.78,130.04,191.68,206.07,133.07,206.55,350.05,212,202.75,295.05,102.87,279.83,523.88,263.31,163.77,0,114.94,222.93,221.71,216.6,201.8,0,224.99,CD158d
155.58,1115.06,155.58,152.3,155.39,1097.17,350.55,508.14,209.8,186.47,504.17,1111.68,1285.38,209.8,0,1008.36,317.97,786.82,1348.86,7859.04,1353.06,1048.71,286.58,1367.2,0,1908.41,3313.26,156.66,163.45,722.99,125.3,336.85,CD158e1
190.38,165.2,124.62,205.6,193.49,160.08,175.99,157.61,222.94,0,119.95,123.88,170.6,219.31,226.56,0,148.48,167.44,161.47,102.46,206.06,469.17,253.22,163.44,0,0,0,195.07,227.19,174.54,0,144.55,CD158f
191.59,180.87,187.29,245.25,172.84,180.47,179.59,184.34,161.2,183.98,190.91,180.82,190.15,162.79,158.75,171.98,194.94,184.61,182.66,118.05,183.42,684.84,3048.56,128.56,4960.27,0,366.22,179.1,0,151.26,0,167.17,CD15
263.56,139.7,140.45,173.02,253.78,142.95,134.54,131.06,123.43,127.58,128.42,133.5,364.68,122.95,137.2,131.54,150.5,143.08,179.47,100.76,166.89,493.02,261.91,270.73,1466.65,217.98,2281.72,202.28,1862.24,3561.17,0,490.43,CD16 - B731
149.44,168.63,148.83,222.96,148.27,170.84,160.54,144.48,164.65,118.68,160.54,133.83,125.96,164.65,0,146.63,132.78,165.32,180.26,103.45,164.42,582.22,289.87,148.05,231.27,208.92,185.37,225.46,268.66,172.8,0,140.03,CD160
207.54,201.51,124.25,1238.13,512.62,208.98,195.28,195.61,197.01,156.27,201.54,187.52,161.77,198.77,209.2,257.81,154.03,223.43,191.6,92.68,208.27,425.28,243.83,208.65,227.05,249.45,220.38,205.56,218.27,176.81,136.72,180.6,CD161
288.61,2942.03,307.54,240.59,262.95,4232.3,2424.44,2339.11,3371.21,2320.23,2322.99,2110.95,5849.41,3447.16,3177.77,2631.27,3365.41,4177.82,6843.73,138.36,11222.94,17842.22,7310.34,3829.06,15456.53,7023,10012.07,8224.77,7528.63,7201.1,45906.79,11194.69,CD162
142.49,140.52,0,154.87,116.16,132.75,176.12,176.12,0,0,212.93,132.63,0,0,0,132.75,0,124.87,0,1082.12,615.49,1113.04,633.98,0,729.71,139.21,103.69,470.06,318.49,221.25,0,457.83,CD163
222.1,148.62,212.31,222.43,240.42,148.38,149.66,145.14,162.77,126.43,147.2,149.03,117.84,169.16,150.76,143.35,167.39,140.67,155.65,151.85,181.6,406.43,267.7,146.84,186.44,127.91,120.53,182.08,157.44,170.12,190.24,149.24,CD164
383.13,185.27,311.17,507.19,421.23,194.38,175.62,176.8,159.09,157.05,178.51,190.99,196,158.77,157.22,166.97,181.67,199.3,210.44,565.76,182.36,629.9,301.73,162.24,209.79,384.58,178.95,388.28,422.1,264.27,418.6,228.79,CD165
159.3,169.55,136.65,185.67,173.52,169.55,141.22,176.15,114.73,0,206.08,112.86,377.76,114.73,0,108.25,169.55,221.52,285.88,114.63,244.06,413.9,255.82,153.28,126.68,111.14,95.3,237.4,181.55,169.92,368.97,874.24,CD166
194.83,157.35,179.55,194.83,0,157.35,158.96,158.96,200.95,343.27,151.16,145.18,170.66,200.95,0,128.2,243.38,170.37,157.35,99.25,195.53,1215.19,290.87,0,0,124.84,177.07,335.61,255.63,165.44,766.66,285.69,CD169
224.74,394.32,232.47,247.35,200.23,423.73,373.57,374.6,369.43,382.31,378.24,290,186.88,317.59,429.48,513.15,358.48,239.01,202.64,107.13,254.02,454.85,424.04,129.29,102.92,126.64,142.41,165.52,210.92,148.2,1190.76,151.43,CD16b
599.02,144.17,576.34,813.44,534.98,146.93,142.52,144.53,138.46,148.7,136.69,145.58,223.18,137.09,139.94,126.73,157.82,161.32,166.95,100.91,160.08,466.31,3655.33,132.54,229.47,210.68,3048.66,1286.19,1195.79,270.26,531.62,886.6,CD170
202.07,168.1,162.29,214,245.67,147.79,177.65,173.15,197.11,157.29,162.76,189.55,134.35,198.95,139.81,121.17,144.36,156.46,149.41,104.7,135.88,436.93,232.93,128.57,123.17,114.61,138.37,175.35,185.35,146.9,281.83,205.31,CD171
197.16,152.88,181.13,213.57,203.56,153.19,152.56,152.18,160.26,143.96,153.07,159.34,175.76,159.68,163.26,141.56,154.83,160.96,163.87,113.8,143.34,4878.18,3952.18,140.3,494.71,9497.8,139.18,6890.77,5911.1,1278.67,1200.91,3453.23,CD172a
150.01,128.95,377.79,127.06,158,118.24,141.7,145.87,102.64,124.65,192.74,140.34,200.44,102.64,0,117.18,124.01,123.25,122.31,126.76,375.51,569.59,432.88,179.43,176.85,114.78,293.5,445.88,410.14,259.26,169.16,225.94,CD172b
150.68,791.85,128.42,163.17,148.59,721.63,830.04,843.28,757.91,975.81,914.66,462.95,288.49,756.52,785.2,1016.87,825.02,536.78,417.23,100.49,695.77,469.73,275.11,1162.58,0,303.47,188.72,200.73,264.11,198.13,214.81,165,CD172g
241.69,327.04,240,207.2,284.27,334,324.12,321.22,341.99,327.2,328.81,278.14,215.3,323.01,365.74,395.07,300.31,253.06,239.39,162.28,184.58,555.56,14499.6,412.55,523.69,171.83,274.46,220.49,450.84,301.41,301.31,173.76,CD177
228.13,202.19,210.44,136.21,228.13,133.88,277.75,277.75,103.05,711.06,398.39,141.38,169.02,103.05,0,116.01,0,152.4,0,97.41,289.45,468.67,251.79,136.57,0,104.21,0,191.1,243.65,189.7,0,181.52,CD178
1765.03,156.74,2412.89,1157.64,1346.76,156.52,157.9,159.91,143.78,161.81,165.53,140.11,141.71,141.85,150.47,177.82,153.89,143.25,150.48,105.01,177.51,797.5,379.66,294.09,134.31,137.78,185.04,644.02,703.85,265.13,248.86,500.46,CD180
162.14,149.47,176.71,194.63,154.38,151.59,142.01,142.02,135.49,134.31,136.51,157.97,155.05,142.04,124.36,133.98,134.65,151.92,152.33,96.64,159.89,461.61,1010.86,131.11,261.8,138.87,197.34,226.67,207.86,168.5,160.68,157.97,CD181
149.07,156.92,147.94,157.25,138.5,161.2,150.03,150.03,150.24,135.62,155.47,151.08,157.34,152.99,150.24,146.29,162.94,159.87,167.27,101.93,164.23,478.69,2619.03,162.98,178.98,137.49,211.15,316.58,220.69,164.12,543.28,228.69,CD182
286.77,325.31,196.11,283.66,319.08,269.58,386.8,390.73,298.34,399.48,561.54,297.9,237.55,331.33,256.77,246.44,652.38,264.19,228.99,119.82,287.53,505.45,243.43,570.81,358.71,528.45,195.51,200.69,267.12,191.36,447.13,436.92,CD183
407.02,190.22,537.05,364.89,229.59,193.84,187.32,188.48,170.16,231.09,179.14,152.12,158.72,151.03,217.54,254.84,186.11,164.39,167.72,216.25,261.45,516.09,263.66,374.05,414.61,204.56,205.08,258.12,231.72,202.62,701.19,323.37,CD184
